བོད་ཕྱི་ནང་།,Tibetan Title,BO,EN,English Title,Author,Translator,བརྗོད་བྱ།,བསྒྱུར་གཞི།,དཔེ་སྐྲུན་ཁང་།,དཔར་ལོ།,ཤོག་གྲངས།,BDRC བརྩམས་ཆོས།,Translation Segment pairs
,བློ་སྦྱོང་ཚིག་རྐང་བརྒྱད་མ།,BO0636,EN0636,Calming the Mind,Gen Lamrimpa དགེ་བཤེས་ཆེན་པོ་གླང་རི་ཐང་པ།,B. Alan Wallace,བློ་སྦྱོང་།,,,,,bdr:WA0XL0335E434,6
,བྱང་ཆུབ་སེམས་དཔའི་སྤྱོད་པ་ལ་འཇུག་པ།,BO1669,EN1669,A Guide to the Bodhisattva Way of Life,Shantideva ཞི་བ་ལྷ། ,"Vesna A. Wallace, B. Alan Wallace",བློ་སྦྱོང་།,,,,,bdr:WA0RT3216,676
,སྔོན་འགྲོ་མདོར་བསྡུས་བྱང་ཆུབ་ལམ་བཟང་བཞུགས་སོ།།,BO0634,EN0634,The Excellent Path to Enlightenment: Oral Teachings on the Root Text of Jamyang Khyentse Wangpo,"Jamyang Khyentse Wangpo, Dilgo Khyentse Rinpoche",Padmakara Translation Group,,,,,,bdr:WA0XL2472AD66,3
,འཇམ་མགོན་མཆོག་གི་སྤྲུལ་པའི་སྐུ་སེང་གེའི་ཁྲིར་ཕེབས་པའི་མཎྜལ་རྒྱས་བཤད་ངོ་མཚར་སྒོ་བརྒྱ་འབྱེད་པའི་དགའ་སྟོན། འཇམ་མགོན་ཀོང་སྤྲུལ་བློ་གྲོས་མཐའ་ཡས་ཀྱི་གསུང་འབུམ། པོད་ ༩ པ། ཤོག་གྲངས་ ༡༣༩།,BO0632,EN0632,Enthronement: The Recognition of the Reincarnate Masters of Tibet and the Himalayas,Jamgon Kongtrul Lodro Taye,Ngawang Zangpo,,,,,,bdr:WA1KG16653,315
,ཕ་དམ་པ་སངས་རྒྱས་ཀྱི་འདའ་ཀ་ཞལ་ཆེམས་དིང་རི་བརྒྱ་རྩ་མ་ཞེས་བྱ་བ་བཞུགས་སོ།།,BO1613,EN1613,Advice from a Yogi: An Explanation of a Tibetan Classic on What Is Most Important,པདྨ་སེང་གེ,,,,,,,,87
,ཆོས་དང་ཆོས་ཉིད་རྣམ་པར་འབྱེད་པའི་ཚིག་ལེའུར་བྱས་པ་སོགས་ཚན་པ་གསུམ།,BO0568,EN0568,Distinguishing Phenomena from Their Intrinsic Nature: Maitreya's Dharmadharmatavibhanga with Commentaries by Khenpo Shenga and Ju Mipham,"- Jamgon Mipham, - Maitreya,- Khenpo Shenga འཕགས་པ་ཐོགས་མེད། འཇུ་མི་ཕམ། མཁན་པོ་སེང་གེ",Dharmachakra Translation Committee,མདོ། ཕར་ཕྱིན།,,,,,bdr:WA1KG2766,308
,ཕྱག་ཆེན་སྔོན་འགྲོའི་ཁྲིད་ཡིག་ངེས་དོན་སྒྲོན་མེ།,BO0624,EN0624,The Torch of Certainty,Jamgon Kongtrul Lodro Taye,Judith Hanson,ཕྱག་རྒྱ་ཆེན་པོ།,,,,,bdr:WA0XL79CFA5940905,607
,"1 བློ་སྦྱོང་དོན་བདུན་མའི་ཁྲིད་ཡིག་བློ་དམན་འཇུག་བདེ།
2 བློ་སྦྱོང་དོན་བདུན་མའི་རྩ་བ།
",BO0612,EN0612,The Great Path of Awakening,"http://purl.bdrc.io/resource/P264
འཆད་ཀ་བ་ཡེ་ཤེས་རྡོ་རྗེ།",Ken McLeod,བློ་སྦྱོང་།,,,,,"1 bdr:WA00KG01627
2 bdr:WA0XLEC021C4370B2",454
,ཚིག་བདུན་གསོལ་འདེབས་ཀྱི་རྣམ་བཤད་པདྨ་དཀར་པོ།,BO0586,EN0586,White Lotus: An Explanation of the Seven-Line Prayer to Guru Padmasambhava,Jamgon Mipham,Padmakara Translation Group,,,,,,bdr:WA8LS19682,543
,སྲོག་སྡོམ་གཟེར་བཞི་དང་(ཏིང་ངེ་འཛིན་གསུམ།),BO0583,EN0583,Pure Appearance: Development and Completion Stages in Vajrayana Practice,Dilgo Khyentse Rinpoche,"Ani Jinba Palmo, Nalanda Translation Committee",,,,,,བོད་ཡིག་མ་དཔེ་མ་རྙེད། bdr:WAEAP105-2-1-281,22
